DATE,SHARE CODE,ISSUER NAME,BANK,GOVERNMENT,PRIVATE EQUITY,TRUSTEE BANK,VENTURE CAPITAL,PRIVATE BANK,EXCHANGE TRADED FUNDS,INVESTMENT MANAGER,INVESTMENT ADVISORS,BROKERAGE FIRMS,HEDGE FUND,SOVEREIGN WEALTH FUND,CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS,COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP,FIRM,INVESTMENT FUND SELLING AGENT,PEER TO PEER LENDING,PERMANENT ESTABLISHMENT,SOLE PROPRIETORSHIP,CORPORATE,ASSOCIATION/SOCIAL ORGANIZATIONS,STATE OWNED ENTERPRISES,CENTRAL BANK,STATE OWNED COMPANY,DIOCESE,CONFERENCE,CONGREGATION,COOPERATIVES,INTERNATIONAL ORGANIZATION,POLITICAL PARTIES,PARTNERSHIP,EDUCATIONAL INSTITUTION,MUTUAL FUNDS (MF),SECURITIES COMPANY (SC),PENSION FUNDS (PF),FINANCIAL INSTITUTIONAL (IB),INSURANCE (IS),FOUNDATION (FD),INDIVIDUAL (ID),TOTAL SCRIPLESS
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,33148251,2508508,1761653,18134057,641,10109851,57786074,691850,62982912,675450,88061566,12041273,45966114,1481896,255547,0,0,0,1754,5054269518,200,0,665300,2712399,20000,75000,0,75,0,0,191000,6,348044287,19493000,75669753,100756362,124228560,4764134,1720394769,7786891760
31-Mar-2026,AALI,ASTRA AGRO LESTARI Tbk,14218557,2907810,276900,4023214,0,3057566,14174010,373622,18983527,2633614,537500,3698288,1454323,34000,53500,0,0,0,0,34128939,0,13683700,52000,444910,0,0,0,700,14900,0,4766427,93900,42367203,4760832,32557839,246276,51659216,3985612,135608208,390797093
31-Mar-2026,ABBA,MAHAKA MEDIA Tbk,629886,0,0,0,0,1690000,0,0,100,0,0,0,100,0,16327299,0,0,0,0,2351791406,0,0,0,0,0,0,0,0,0,0,0,0,0,1754723,0,39999999,0,71,1065462748,3477656332
31-Mar-2026,ABDA,ASURANSI BINA DANA ARTA Tbk,28003598,20,21728234,0,0,2000,0,30499400,16,0,0,0,100,0,0,0,0,0,0,44057,0,0,0,0,0,0,0,0,0,0,0,0,0,11850,0,0,538555304,440734,483757,619769070
31-Mar-2026,ABMM,ABM INVESTAMA Tbk,3549132,42100,43000,0,127000,1000000,2622000,675400,6696217,12,0,93400,20100,53500,114300,0,0,0,0,2197653000,0,0,0,1000,0,0,0,0,0,0,68965,0,110388073,4283227,4244274,206800,1847600,0,419435900,2753165000
31-Mar-2026,ACES,ASPIRASI HIDUP INDONESIA Tbk,114318092,35560900,38498900,511982900,30200,24030100,186055379,5380000,379421819,2234809,172752200,151104400,2999809,416200,420000,0,0,0,529100,11105407418,3800,0,640912,15616600,0,0,0,1089000,1700000,0,0,12255124,1028907610,114439506,261586999,9285900,409082200,21152332,2513387491,17120289700
31-Mar-2026,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,1561000,0,0,0,0,0,0,0,11585100,0,0,0,0,4700,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,105402,0,0,0,0,3456064335,3469345537
31-Mar-2026,ACST,ACSET INDONUSA Tbk,1888020,80,0,0,0,1427124,0,16000,5655100,20,0,0,6100,228400,0,0,0,67,0,16221149988,0,0,0,0,0,0,0,0,0,0,0,0,0,1792386,0,0,0,0,1442996715,17675160000
31-Mar-2026,ADCP,ADHI COMMUTER PROPERTI Tbk,572600,0,0,0,0,0,0,0,21544900,0,0,0,100,0,0,0,0,0,0,450680900,0,0,0,0,0,0,0,147078400,0,0,0,0,0,1772700,1200000,0,0,900,1599371700,2222222200
31-Mar-2026,ADES,AKASHA WIRA INTERNATIONAL Tbk,3923150,0,10000,61400,0,122200,0,0,22800,97,0,0,2200,0,0,0,0,0,0,542062477,0,0,0,0,0,0,0,0,0,0,0,0,453300,434071,60300,56200,0,0,42000177,589208372
31-Mar-2026,ADHI,ADHI KARYA (PERSERO) Tbk,7289453,3414087,814100,0,0,8000000,5789369,18000,7534807,3006,0,226107,2039202,1400084,17000,0,0,0,0,325873552,0,260820,2359600,3260000,0,0,20000,964900,0,0,0,0,17512291,256315378,50370880,0,22825359,15300335,2267216857,2998825187
31-Mar-2026,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,920954338,3074,0,0,0,233757759,0,3768900,68906,17247,168500,0,219911,0,14900,0,0,0,0,712888,0,0,0,0,0,0,0,0,0,0,0,0,8602100,4719023,464831,9845654,5082393,8671,47294014,1235703109
31-Mar-2026,ADMG,POLYCHEM INDONESIA Tbk,2634847,0,0,0,0,2000000,0,0,1296500,62,0,0,1435881,0,0,0,0,0,0,1399506593,0,100,0,0,0,0,0,0,0,0,1925414417,0,83,4821823,2290400,0,1030000,0,504840087,3845270793
31-Mar-2026,ADMR,ALAMTRI MINERALS INDONESIA Tbk,39754711,5303500,18970800,9433500,2500,10834700,49670248,9925300,648163880,2901,0,165913900,12881005,2075300,12000,0,4000,0,0,36412815333,0,0,920900,18246800,113800,800000,0,0,0,0,196500,0,1066786499,15429124,260314030,3451894,564086200,28429900,1537792275,40882331500
31-Mar-2026,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,241082446,51854800,11000763,89834300,5000,31752589,761195885,35592200,147014543,11575179,11477800,84661492,56512883,6210010,13320200,0,0,292,7700,17065893036,2900,12152200,5481900,26020000,270000,400000,0,4700,293000,0,98224115,422000,1795770560,55484241,412344078,46683686,595904432,47099300,7674141170,29389689400
31-Mar-2026,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,698200,0,0,0,0,0,0,0,0,0,0,0,0,9667000,0,0,0,0,0,1519000,0,0,0,0,0,0,0,0,0,0,0,0,0,58800025,0,0,0,0,935396496,1006080721
31-Mar-2026,AGAR,ASIA SEJAHTERA MINA Tbk,0,0,0,0,0,0,0,0,190100,0,0,0,100,0,0,0,0,0,0,798985300,0,0,0,0,0,0,0,0,0,0,0,0,0,163800,0,0,0,0,200660700,1000000000
31-Mar-2026,AGII,SAMATOR INDO GAS Tbk,3918400,0,993795720,0,0,9000000,642800,0,3343100,200000,0,0,74500,26700,0,0,0,0,1500,1109992129,0,0,0,0,0,0,0,0,0,0,0,0,36458500,8260060,0,0,0,100,69803491,2235517000
31-Mar-2026,AGRO,BANK RAYA INDONESIA Tbk,21312559686,0,100,0,93,1000000,0,250000,10788200,80,0,0,284852,1529400,199517,0,0,0,92200,126033380,0,0,0,0,0,0,0,894971,0,0,0,50000,5898598,5385015,602651003,0,0,2444957,2413415341,24483477393
31-Mar-2026,AGRS,BANK IBK INDONESIA Tbk,33091500,0,214,0,0,4702910654,0,0,15580300,1,0,0,1619300,469881,12084200,0,0,0,0,388150277,0,0,0,0,0,0,0,0,0,0,0,0,0,1416516788,0,0,0,481,1705725233,8276148829
31-Mar-2026,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,13134600,0,0,0,0,231,0,0,10842300,56,0,0,100,0,1409900,0,0,0,0,49759976,50000,0,0,0,0,0,0,0,0,0,0,0,0,367736,0,103341,3130429009,66,1689561827,4895659142
31-Mar-2026,AIMS,ARTHA MAHIYA INVESTAMA Tbk,0,0,0,0,0,0,0,0,68556991,0,0,0,100,0,0,0,0,0,0,68992851,0,0,0,0,0,0,0,0,0,0,0,0,0,28400,0,0,0,0,82271658,219850000
31-Mar-2026,AISA,FKS FOOD SEJAHTERA Tbk,332101,50,10400,0,189880957,159181700,0,230000,18551600,149149,0,0,381811,1860,0,0,0,500,0,7111887791,0,0,0,0,0,0,0,8794615,0,0,0,0,6400913,10409113,6277700,0,169631429,160,1629050651,9311172500
31-Mar-2026,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,0,0,72535100,0,195289000,0,0,0,23000000,0,0,0,100,0,2701540900,0,0,0,0,2818123200,0,1900,0,0,0,0,0,0,0,0,0,0,0,2704700,0,0,0,6900,636261836,6449463636
31-Mar-2026,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,270,0,10000,0,0,0,0,0,49600,533,0,0,100,0,0,0,0,0,0,146212673,0,0,0,0,0,0,0,0,0,0,0,0,17500,80522,34,0,4000,0,100889807,247265039
31-Mar-2026,AKRA,AKR CORPORINDO Tbk,180282884,77724548,2329800,60786600,0,51968069,257741188,21970300,175367800,50,81034500,591605067,10067175,40100,0,0,0,0,4800,3569228010,3718900,115508000,803700,42824600,0,350000,538800,0,155800,0,135119500,0,2180847550,106872852,1039126297,2950700,740007100,34386525,878484285,10361845500
31-Mar-2026,AKSI,MINERAL SUMBERDAYA MANDIRI Tbk,0,0,0,0,0,0,0,0,625944,0,0,0,100,0,0,0,0,0,0,6467300,0,0,0,0,0,0,0,0,0,0,0,0,0,19800,0,0,0,0,50425356,57538500
31-Mar-2026,ALDO,ALKINDO NARATAMA Tbk,432400,0,0,0,0,0,0,0,319532,12,0,0,200,0,0,0,0,0,0,1957275932,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,742685586,2700713744
31-Mar-2026,ALII,ANCARA LOGISTICS INDONESIA Tbk,8450700,0,79500,0,0,0,0,0,8028400,0,0,0,0,0,0,0,0,0,0,12316440250,0,0,0,0,0,0,0,0,0,0,0,0,2602297940,2612100,0,0,0,0,887891110,15825800000
31-Mar-2026,ALKA,ALAKASA INDUSTRINDO Tbk,89500,0,0,0,0,0,0,0,14550800,2500,0,0,100,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,21300,0,0,0,0,52083128,66752328
31-Mar-2026,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,0,0,0,0,0,0,0,0,74044336,0,0,0,12700,0,0,0,0,0,0,55828004,0,0,0,0,0,0,0,0,0,0,0,0,0,1886500,0,0,0,0,47732200,179503740
31-Mar-2026,ALTO,TRI BANYAN TIRTA Tbk,0,0,0,0,750,7560000,0,0,0,0,0,0,100,0,0,0,0,0,0,1222406827,0,0,0,149437339,0,0,0,0,0,0,0,0,0,235138018,0,0,0,0,577076024,2191619058
